Indicator,Year,Country ISO 3 code,Country,Global,WHO region,SDG region,World bank income group,Datasource short,Datasource long,Comments,Value Numeric,Value String
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,GTM,Guatemala,,Americas,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GIN,Guinea,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,79,79
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GNB,Guinea-Bissau,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,80,80
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GUY,Guyana,,Americas,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,HTI,Haiti,,Americas,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,65,65
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,HND,Honduras,,Americas,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,80,80
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,HUN,Hungary,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,93,93
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,IND,India,,South-East Asia,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,74,74
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,IDN,Indonesia,,Western Pacific,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,77,77
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,IRN,Iran (Islamic Republic of),,Eastern Mediterranean,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,63,63
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,IRQ,Iraq,,Eastern Mediterranean,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,59,59
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,JAM,Jamaica,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,76,76
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,JPN,Japan,,Western Pacific,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,85,85
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,JOR,Jordan,,Eastern Mediterranean,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,56,56
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,KAZ,Kazakhstan,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,65,65
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,KEN,Kenya,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,48,48
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,KGZ,Kyrgyzstan,,Europe,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,73,73
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,LAO,Lao People's Democratic Republic,,Western Pacific,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,96,96
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,LVA,Latvia,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,70,70
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,LBN,Lebanon,,Eastern Mediterranean,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,LBR,Liberia,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,LBY,Libya,,Eastern Mediterranean,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,LTU,Lithuania,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MWI,Malawi,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,79,79
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,MYS,Malaysia,,Western Pacific,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,83,83
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MDV,Maldives,,South-East Asia,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,93,93
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MLI,Mali,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,MLT,Malta,,Europe,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,MRT,Mauritania,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,65,65
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MUS,Mauritius,,Africa,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MEX,Mexico,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,86,86
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MNG,Mongolia,,Western Pacific,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,MNE,Montenegro,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,52,52
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MAR,Morocco,,Eastern Mediterranean,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MOZ,Mozambique,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MMR,Myanmar,,South-East Asia,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,91,91
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,NAM,Namibia,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,88,88
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,NPL,Nepal,,South-East Asia,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,48,48
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,NLD,Netherlands (Kingdom of the),,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,100,100
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,NZL,New Zealand,,Western Pacific,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,95,95
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,NIC,Nicaragua,,Americas,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,NER,Niger,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,NGA,Nigeria,,Africa,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,MKD,North Macedonia,,Europe,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,NOR,Norway,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,100,100
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,PSE,"occupied Palestinian territory, including east Jerusalem",,Eastern Mediterranean,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,68,68
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,OMN,Oman,,Eastern Mediterranean,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,70,70
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,PAK,Pakistan,,Eastern Mediterranean,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,69,69
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,PAN,Panama,,Americas,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,72,72
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,PRY,Paraguay,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,76,76
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,PER,Peru,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,85,85
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,PHL,Philippines,,Western Pacific,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,80,80
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,POL,Poland,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,89,89
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,PRT,Portugal,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,95,95
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,QAT,Qatar,,Eastern Mediterranean,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,71,71
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,MDA,Republic of Moldova,,Europe,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,ROU,Romania,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,98,98
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,RUS,Russian Federation,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,70,70
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,RWA,Rwanda,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,82,82
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,LCA,Saint Lucia,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,33,33
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,VCT,Saint Vincent and the Grenadines,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,81,81
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,WSM,Samoa,,Western Pacific,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,22,22
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,STP,Sao Tome and Principe,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,46,46
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SAU,Saudi Arabia,,Eastern Mediterranean,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SEN,Senegal,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SRB,Serbia,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,99,99
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SLE,Sierra Leone,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,65,65
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SGP,Singapore,,Western Pacific,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,46,46
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SVK,Slovakia,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,86,86
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SVN,Slovenia,,Europe,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SOM,Somalia,,Eastern Mediterranean,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,ZAF,South Africa,,Africa,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,95,95
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SSD,South Sudan,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,16,16
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,LKA,Sri Lanka,,South-East Asia,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,86,86
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SDN,Sudan,,Eastern Mediterranean,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,57,57
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SUR,Suriname,,Americas,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SWE,Sweden,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,100,100
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,CHE,Switzerland,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,94,94
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,SYR,Syrian Arab Republic,,Eastern Mediterranean,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,81,81
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,TGO,Togo,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,TTO,Trinidad and Tobago,,Americas,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,27,27
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,TUN,Tunisia,,Eastern Mediterranean,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,TUR,Türkiye,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,78,78
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,TKM,Turkmenistan,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,94,94
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,UKR,Ukraine,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,95,95
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,ARE,United Arab Emirates,,Eastern Mediterranean,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GBR,United Kingdom of Great Britain and Northern Ireland,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,96,96
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,TZA,United Republic of Tanzania,,Africa,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
